# ME COOCOON PINS
PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PC4,PC4
PC5,PC5
PC6,PC6
PB12,PB12
PB13,PB13
PB14,PB14

# GPIO / Analog Pins
X1,PA0
X2,PA1
X3,PA2
X4,PA3
X5,PA4
X6,PA5
X7,PA6
X8,PA7
X9,PB6
X10,PB7

# Board-specific pins
X11,PC4
X12,PC5
X17,PB3
X18,PC13
X19,PC0
X20,PC1
X21,PC2
X22,PC3

# Additional GPIO Pins
Y1,PC6
Y2,PC7
Y3,PB8
Y4,PB9
Y5,PB12
Y6,PB13
Y7,PB14
Y8,PB15
Y9,PB10
Y10,PB11
Y11,PB0
Y12,PB1

# SWD Debugging Pins
SW,PC3
LED_RED,PA13
LED_GREEN,PA14
LED_YELLOW,PA15
LED_BLUE,PB4

# SD Card Interface
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CMD,PD2
SD_CK,PC12

# USB Interface
USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12

# Oscillator Pins
OSC_IN,PH0
OSC_OUT,PH1
OSC32_IN,PC14
OSC32_OUT,PC15
